DATETIME,WORKINGGROUP,INPUT_FORMAT_SHORT,INPUT_FORMAT_DESC,INPUT_PROJECT,N_TASKS,N_FILES
2017-05-28,,DAOD,MUON,data16_13TeV,13,18
2017-05-28,,DESDM,MCP,data17_13TeV,19,19
2017-06-04,,DAOD,TOPQ,data16_13TeV,279,1879
2017-06-04,,AOD,,data17_13TeV,64,90
2017-06-04,,DESDM,MCP,data17_13TeV,51,51
2017-06-04,,DAOD,MUON,mc15_13TeV,8,12
2017-06-04,,DAOD,HIGGD,data15_13TeV,515,643
2017-06-11,,DAOD,RPVLL,data16_13TeV,128,309
2017-06-18,,DAOD,ZMUMU,data16_13TeV,192,472
2017-06-04,,DAOD,IDTIDE,mc15_13TeV,48,48
2017-06-11,phys-higgs,DAOD,TOPQ,mc15_13TeV,86,131
2017-06-04,,AOD,,data16_hip8TeV,60,60
2017-06-25,phys-sm,DAOD,STDM,mc15_13TeV,6,594
2017-06-11,,RDO,,mc15_13TeV,1,1
2017-06-11,perf-jets,DAOD,STDM,mc15_13TeV,26,29
2017-06-11,,HITS,,mc15_14TeV,97,103
2017-06-11,trig-daq,,,data17_13TeV,304,304
2017-06-18,det-indet,DRAW,ZMUMU,data16_13TeV,19,19
2017-06-18,,DAOD,TOPQ,data16_13TeV,202,2686
2017-06-18,,DAOD,EXOT,data15_13TeV,210,1121
2017-06-18,phys-higgs,DAOD,HIGGD,data16_13TeV,361,458
2017-06-18,,EVNT,,mc15_7TeV,48,48
2017-06-18,,DAOD,FTAG,mc15_13TeV,199,263
2017-06-18,,DAOD,TAUP,data16_13TeV,332,332
2017-06-25,,DAOD,HIGGD,data16_13TeV,514,888
2017-06-18,phys-higgs,AOD,,mc15_14TeV,24,40
2017-09-24,,DAOD,SUSY,data16_13TeV,194,1615
2017-06-25,perf-muons,AOD,,mc15_13TeV,11,31
2017-06-25,,DAOD,TRUTH,mc15_13TeV,579,689
2017-06-25,,ESD,,data16_13TeV,9,9
2017-07-02,,DAOD,EGAM,data15_13TeV,599,14459
2017-06-25,,HITS,,mc15_13TeV,22,33
2017-06-25,,RDO,,mc15_13TeV,59,59
2017-06-25,phys-higgs,DAOD,TOPQ,data15_13TeV,11,124
2017-06-25,,DAOD,TAUP,mc15_13TeV,34,308
2017-07-09,,EVNT,,mc15_13TeV,300,479
2017-07-02,,DAOD,HIGGD,mc15_13TeV,1243,2035
2017-07-02,,AOD,,data16_13TeV,251,406
2017-07-02,,AOD,,data17_13TeV,357,399
2017-07-09,,DAOD,STDM,data15_13TeV,140,306
2017-07-02,,ESD,,data16_13TeV,23,23
2017-07-02,,DAOD,STDM,data15_13TeV,332,689
2017-07-02,,DAOD,FTAG,data15_13TeV,155,155
2017-07-02,,DAOD,EGAM,mc16_13TeV,14,16
2017-07-02,,NTUP,HI,data13_hip,36,36
2017-07-02,perf-muons,AOD,,mc15_14TeV,2,2
2017-07-02,,DAOD,SUSY,mc16_13TeV,2,4
2017-07-02,,ESD,,mc15_13TeV,19,19
2017-07-02,,NTUP,COMMON,mc12_8TeV,13,24
2017-07-02,perf-idtracking,DESDM,ZMUMU,data17_13TeV,43,43
2017-07-02,,DAOD,TAUP,mc16_13TeV,9,18
2017-07-02,phys-higgs,AOD,,mc15_14TeV,18,18
2017-07-09,,RDO,,mc15_13TeV,72,72
2017-07-09,phys-higgs,DAOD,HIGGD,data15_13TeV,222,315
2017-07-16,perf-muons,DAOD,MUON,mc16_13TeV,26,36
2017-07-09,,DAOD,FTAG,mc15_13TeV,54,79
2017-07-09,,HITS,,mc15_14TeV,50,50
2017-07-09,perf-idtracking,DAOD,FTAG,mc15_13TeV,18,108
2017-07-16,,DAOD,JETM,mc15_13TeV,323,521
2017-07-16,,DAOD,STDM,mc15_13TeV,330,469
2017-07-16,,DAOD,TOPQ,data16_13TeV,378,1610
2017-07-16,,DAOD,HION,mc15_5TeV,28,48
2017-07-16,,AOD,,mc15_5TeV,47,63
2017-07-16,,AOD,,mc15_14TeV,85,103
2017-07-30,,DAOD,HIGGD,mc15_13TeV,919,2296
2017-07-23,,DAOD,EGAM,data16_13TeV,769,10986
2017-07-16,,EVNT,,mc15_7TeV,16,16
2017-07-23,,ESD,,mc15_13TeV,14,14
2017-07-16,,AOD,,mc16_13TeV,83,131
2017-07-30,,DAOD,EXOT,data16_13TeV,1251,2918
2017-07-23,,AOD,,data17_13TeV,197,293
2017-07-23,,TXT,,mc15_13TeV,3,9
2017-07-23,,DAOD,SUSY,mc16_13TeV,367,572
2017-07-23,,DAOD,TOPQ,mc16_13TeV,242,457
2017-07-23,,NTUP,HI,data13_hip,55,55
2017-07-23,,AOD,,data15_5TeV,11,11
2017-07-23,,NTUP,HI,data10_hi,35,35
2017-07-23,,DAOD,TAUP,mc15_13TeV,179,189
2017-07-23,phys-susy,DAOD,HIGGD,mc15_13TeV,24,24
2017-07-23,,DAOD,HION,data15_hi,36,36
2017-07-23,,RDO,,mc15_14TeV,17,17
2017-07-30,,DAOD,TOPQ,data17_13TeV,34,34
2017-07-23,,ESD,,data17_13TeV,9,9
2017-08-20,,DAOD,HIGGD,mc16_13TeV,65,107
2017-05-14,,DAOD,IDTIDE,data16_13TeV,10,10
2017-05-14,,DESDM,CALJET,data16_13TeV,1,5
2017-05-14,perf-idtracking,AOD,,mc16_13TeV,1,2
2017-05-14,,EVNT,,mc16_13TeV,2,4
2017-05-28,,DAOD,IDTRKVALID,mc15_13TeV,2,2
2017-05-28,,ESD,,data17_comm,16,16
2017-06-11,,AOD,,mc15_valid,18,18
2017-06-18,,DAOD,IDTR,data16_13TeV,4,4
2017-11-26,,NTUP,COMMON,data12_8TeV,1,17
2017-07-16,,NTUP,TOP,mc12_8TeV,10,10
2017-07-02,,DAOD,IDTRKLUMI,mc15_13TeV,14,42
2017-07-09,,AOD,,data16_hip8TeV,41,99
2017-07-16,phys-sm,DAOD,HIGGD,mc15_13TeV,2,397
2017-07-16,,NTUP,COMMON,mc12_8TeV,10,52
2017-07-16,,DAOD,EXOT,mc16_13TeV,12,12
2017-09-24,phys-higgs,DAOD,HIGGD,mc15_13TeV,975,2684
2017-09-03,,DAOD,TOPQ,data15_13TeV,225,946
2017-05-07,perf-muons,DAOD,MUON,data15_13TeV,3,35
2017-05-21,soft-simul,HITS,,mc16_13TeV,11,11
2017-09-24,,DAOD,HIGGD,mc15_13TeV,1083,1421
2017-07-02,,DRAW,RPVLL,data16_13TeV,30,30
2017-07-09,,DAOD,BPHY,mc15_13TeV,2,2
2017-07-16,,,,data16_13TeV,8,8
2017-07-30,det-ibl,DRAW,ZMUMU,data16_13TeV,2,2
2017-07-23,,,,data17_13TeV,8,8
2017-05-14,,DAOD,TRUTH,mc15_14TeV,6,6
2017-06-11,,ESD,,mc16_13TeV,1,1
2017-06-18,,DESDM,ZMUMU,data15_13TeV,7,7
2017-06-18,perf-muons,AOD,,mc15_13TeV,9,19
2018-01-14,,DAOD,HIGGD,mc15_13TeV,666,896
2017-08-20,,AOD,,mc16_13TeV,120,217
2017-08-13,,DAOD,IDTIDE,mc15_13TeV,1,1
2017-07-30,,DAOD,IDTIDE,mc16_13TeV,12,12
2017-07-30,,NTUP,HI,data10_hi,4,4
2017-05-14,,DAOD,IDTR,data16_13TeV,3,3
2017-05-21,perf-muons,DAOD,MUON,data16_13TeV,1,20
2017-05-14,det-indet,,,data16_13TeV,1,1
2017-06-04,,RDO,,mc15_14TeV,8,8
2017-06-04,,DRAW,EGZ,data16_13TeV,4,4
2017-06-18,perf-muons,DAOD,MUON,data15_13TeV,2,20
2017-06-25,soft-simul,HITS,,mc16_13TeV,1,1
2017-07-09,,DRAW,ZMUMU,data16_13TeV,1,1
2017-07-16,,DAOD,BPHY,data16_13TeV,2,312
2017-07-09,det-muon,DESDM,TILEMU,data17_13TeV,1,1
2017-07-23,,ESD,,data16_13TeV,8,8
2017-07-30,phys-sm,DAOD,STDM,mc15_13TeV,1,18
2017-05-21,,,,data16_13TeV,2,2
2017-07-09,,DAOD,BPHY,data16_13TeV,2,312
2017-06-11,,DRAW,ZMUMU,data16_13TeV,5,5
2017-07-09,,DAOD,HION,data16_hip8TeV,2,2
2017-05-07,,DAOD,IDTIDE,mc15_13TeV,6,6
2017-05-07,,DAOD,RPVLL,data16_13TeV,3,367
2017-05-14,phys-higgs,AOD,,mc15_13TeV,1,1
2017-06-11,,DRAW,ZMUMU,data15_13TeV,1,1
2017-05-07,,TXT,,mc15_13TeV,5,6
2017-05-14,det-indet,RDO,,mc15_13TeV,2,2
2017-06-18,,DESDM,ZMUMU,data16_13TeV,1,1
2017-06-25,trig-daq,,,data16_13TeV,2,2
2018-02-25,,DAOD,TRUTH,mc15_13TeV,536,771
2017-08-20,,DAOD,SUSY,data16_13TeV,925,3382
